ProfessionName, CareerName, TradeInfo
minecraft:farmer,farmer,Emerald:18,22->minecraft:wheat
minecraft:farmer,farmer,Emerald:15,19->minecraft:potato
minecraft:farmer,farmer,Emerald:15,19->minecraft:carrot
minecraft:farmer,farmer,Emerald:-4,-2->Item:minecraft:bread
minecraft:farmer,farmer,Emerald:8,13->minecraft:pumpkin
minecraft:farmer,farmer,Emerald:-3,-2->Item:minecraft:pumpkin_pie
minecraft:farmer,farmer,Emerald:7,12->minecraft:melon_block
minecraft:farmer,farmer,Emerald:-7,-5->Item:minecraft:apple
minecraft:farmer,farmer,Emerald:-10,-6->Item:minecraft:cookie
minecraft:farmer,farmer,Emerald:1,1->Item:minecraft:cake
minecraft:farmer,fisherman,Emerald:15,20->minecraft:string
minecraft:farmer,fisherman,Emerald:16,24->minecraft:coal
minecraft:farmer,fisherman,Item:minecraft:fish,Emerald:6,6->Item:minecraft:cooked_fish,Emerald:6,6
minecraft:farmer,fisherman,Item:minecraft:fishing_rod->Emerald:7,8
minecraft:farmer,shepherd,Emerald:16,22->minecraft:wool
minecraft:farmer,shepherd,Emerald:3,4->Item:minecraft:shears
minecraft:farmer,shepherd,Emerald:1,2->Item:minecraft:wool
minecraft:farmer,shepherd,Emerald:1,2->Item:minecraft:wool
minecraft:farmer,shepherd,Emerald:1,2->Item:minecraft:wool
minecraft:farmer,shepherd,Emerald:1,2->Item:minecraft:wool
minecraft:farmer,shepherd,Emerald:1,2->Item:minecraft:wool
minecraft:farmer,shepherd,Emerald:1,2->Item:minecraft:wool
minecraft:farmer,shepherd,Emerald:1,2->Item:minecraft:wool
minecraft:farmer,shepherd,Emerald:1,2->Item:minecraft:wool
minecraft:farmer,shepherd,Emerald:1,2->Item:minecraft:wool
minecraft:farmer,shepherd,Emerald:1,2->Item:minecraft:wool
minecraft:farmer,shepherd,Emerald:1,2->Item:minecraft:wool
minecraft:farmer,shepherd,Emerald:1,2->Item:minecraft:wool
minecraft:farmer,shepherd,Emerald:1,2->Item:minecraft:wool
minecraft:farmer,shepherd,Emerald:1,2->Item:minecraft:wool
minecraft:farmer,shepherd,Emerald:1,2->Item:minecraft:wool
minecraft:farmer,shepherd,Emerald:1,2->Item:minecraft:wool
minecraft:farmer,fletcher,Emerald:15,20->minecraft:string
minecraft:farmer,fletcher,Emerald:-12,-8->Item:minecraft:arrow
minecraft:farmer,fletcher,Emerald:2,3->Item:minecraft:bow
minecraft:farmer,fletcher,Item:minecraft:gravel,Emerald:10,10->Item:minecraft:flint,Emerald:6,10
minecraft:librarian,librarian,Emerald:24,36->minecraft:paper
minecraft:librarian,librarian,Item:minecraft:enchanted_book->Emerald:?
minecraft:librarian,librarian,Emerald:8,10->minecraft:book
minecraft:librarian,librarian,Emerald:10,12->Item:minecraft:compass
minecraft:librarian,librarian,Emerald:3,4->Item:minecraft:bookshelf
minecraft:librarian,librarian,Emerald:2,2->minecraft:written_book
minecraft:librarian,librarian,Emerald:10,12->Item:minecraft:clock
minecraft:librarian,librarian,Emerald:-5,-3->Item:minecraft:glass
minecraft:librarian,librarian,Item:minecraft:enchanted_book->Emerald:?
minecraft:librarian,librarian,Item:minecraft:enchanted_book->Emerald:?
minecraft:librarian,librarian,Emerald:20,22->Item:minecraft:name_tag
minecraft:librarian,cartographer,Emerald:24,36->minecraft:paper
minecraft:librarian,cartographer,Emerald:1,1->minecraft:compass
minecraft:librarian,cartographer,Emerald:7,11->Item:minecraft:map
minecraft:priest,cleric,Emerald:36,40->minecraft:rotten_flesh
minecraft:priest,cleric,Emerald:8,10->minecraft:gold_ingot
minecraft:priest,cleric,Emerald:-4,-1->Item:minecraft:redstone
minecraft:priest,cleric,Emerald:-2,-1->Item:minecraft:dye
minecraft:priest,cleric,Emerald:4,7->Item:minecraft:ender_pearl
minecraft:priest,cleric,Emerald:-3,-1->Item:minecraft:glowstone
minecraft:priest,cleric,Emerald:3,11->Item:minecraft:experience_bottle
minecraft:priest,vampirism.hunter_priest,Emerald:8,10->minecraft:gold_ingot
minecraft:priest,vampirism.hunter_priest,Emerald:-8,-2->Item:vampirism:holy_water_bottle
minecraft:priest,vampirism.hunter_priest,Emerald:-5,-1->Item:vampirism:holy_water_bottle
minecraft:priest,vampirism.hunter_priest,Emerald:-10,-3->Item:vampirism:holy_salt
minecraft:priest,vampirism.hunter_priest,Emerald:3,11->Item:minecraft:experience_bottle
minecraft:smith,armor,Emerald:16,24->minecraft:coal
minecraft:smith,armor,Emerald:4,6->Item:minecraft:iron_helmet
minecraft:smith,armor,Emerald:7,9->minecraft:iron_ingot
minecraft:smith,armor,Emerald:10,14->Item:minecraft:iron_chestplate
minecraft:smith,armor,Emerald:3,4->minecraft:diamond
minecraft:smith,armor,Item:minecraft:diamond_chestplate->Emerald:16,19
minecraft:smith,armor,Emerald:5,7->Item:minecraft:chainmail_boots
minecraft:smith,armor,Emerald:9,11->Item:minecraft:chainmail_leggings
minecraft:smith,armor,Emerald:5,7->Item:minecraft:chainmail_helmet
minecraft:smith,armor,Emerald:11,15->Item:minecraft:chainmail_chestplate
minecraft:smith,weapon,Emerald:16,24->minecraft:coal
minecraft:smith,weapon,Emerald:6,8->Item:minecraft:iron_axe
minecraft:smith,weapon,Emerald:7,9->minecraft:iron_ingot
minecraft:smith,weapon,Item:minecraft:iron_sword->Emerald:9,10
minecraft:smith,weapon,Emerald:3,4->minecraft:diamond
minecraft:smith,weapon,Item:minecraft:diamond_sword->Emerald:12,15
minecraft:smith,weapon,Item:minecraft:diamond_axe->Emerald:9,12
minecraft:smith,tool,Emerald:16,24->minecraft:coal
minecraft:smith,tool,Item:minecraft:iron_shovel->Emerald:5,7
minecraft:smith,tool,Emerald:7,9->minecraft:iron_ingot
minecraft:smith,tool,Item:minecraft:iron_pickaxe->Emerald:9,11
minecraft:smith,tool,Emerald:3,4->minecraft:diamond
minecraft:smith,tool,Item:minecraft:diamond_pickaxe->Emerald:12,15
minecraft:butcher,butcher,Emerald:14,18->minecraft:porkchop
minecraft:butcher,butcher,Emerald:14,18->minecraft:chicken
minecraft:butcher,butcher,Emerald:14,18->mysticalworld:venison
minecraft:butcher,butcher,Emerald:16,24->minecraft:coal
minecraft:butcher,butcher,Emerald:-7,-5->Item:minecraft:cooked_porkchop
minecraft:butcher,butcher,Emerald:-8,-6->Item:minecraft:cooked_chicken
minecraft:butcher,butcher,Emerald:1,1->Item:mysticalworld:cooked_venison
minecraft:butcher,leather,Emerald:9,12->minecraft:leather
minecraft:butcher,leather,Emerald:2,4->Item:minecraft:leather_leggings
minecraft:butcher,leather,Emerald:9,12->mysticalworld:pelt
minecraft:butcher,leather,Emerald:4,9->mysticalworld:carapace
minecraft:butcher,leather,Emerald:1,1->mysticalworld:antlers
minecraft:butcher,leather,Item:minecraft:leather_chestplate->Emerald:7,12
minecraft:butcher,leather,Emerald:8,10->Item:minecraft:saddle
roots:druid,druid,Emerald:8,12->Item:roots:living_arrow
roots:druid,druid,Emerald:42,64->Item:roots:wildwood_sapling
vampirism:hunter_expert,vampirism.hunter_expert,Emerald:20,30->vampirism:vampire_fang
vampirism:hunter_expert,vampirism.hunter_expert,Emerald:1,1->vampirism:vampire_book
vampirism:vampire_expert,vampirism.vampire_expert,Emerald:20,30->vampirism:vampire_fang
vampirism:vampire_expert,vampirism.vampire_expert,Emerald:1,1->vampirism:vampire_book
#output time is 1 ms.
