RegistryName, LocalizedName(if exist), ParentAdvancementLocalizedName
minecraft:recipes/tools/fishing_rod, minecraft:recipes/tools/fishing_rod, minecraft:recipes/root
bewitchment:das_tier_in_mir, bewitchment:das_tier_in_mir, bewitchment:root
thebetweenlands:herbalist/im_a_druid, thebetweenlands:herbalist/im_a_druid, thebetweenlands:herbalist/root
immersiveengineering:main/multiblock_dieselgenerator, immersiveengineering:main/multiblock_dieselgenerator, immersiveengineering:main/make_steel
minecraft:recipes/decorations/purple_stained_glass_pane, minecraft:recipes/decorations/purple_stained_glass_pane, minecraft:recipes/root
minecraft:recipes/building_blocks/black_stained_glass, minecraft:recipes/building_blocks/black_stained_glass, minecraft:recipes/root
vampirism:vampire/extra_storage, vampirism:vampire/extra_storage, vampirism:vampire/first_blood
minecraft:recipes/building_blocks/red_stained_hardened_clay, minecraft:recipes/building_blocks/red_stained_hardened_clay, minecraft:recipes/root
thebetweenlands:miner/spelunking, thebetweenlands:miner/spelunking, thebetweenlands:miner/root
roots:baffle_cap, roots:baffle_cap, roots:pyre
minecraft:recipes/redstone/lever, minecraft:recipes/redstone/lever, minecraft:recipes/root
minecraft:recipes/misc/magenta_dye_from_lilac, minecraft:recipes/misc/magenta_dye_from_lilac, minecraft:recipes/root
minecraft:recipes/misc/light_blue_dye_from_blue_orchid, minecraft:recipes/misc/light_blue_dye_from_blue_orchid, minecraft:recipes/root
minecraft:recipes/combat/iron_sword, minecraft:recipes/combat/iron_sword, minecraft:recipes/root
mysticalworld:root, mysticalworld:root, No Parent
minecraft:recipes/redstone/observer, minecraft:recipes/redstone/observer, minecraft:recipes/root
minecraft:recipes/redstone/spruce_door, minecraft:recipes/redstone/spruce_door, minecraft:recipes/root
minecraft:recipes/building_blocks/mossy_cobblestone, minecraft:recipes/building_blocks/mossy_cobblestone, minecraft:recipes/root
minecraft:recipes/misc/light_gray_dye_from_white_tulip, minecraft:recipes/misc/light_gray_dye_from_white_tulip, minecraft:recipes/root
minecraft:recipes/building_blocks/lime_concrete_powder, minecraft:recipes/building_blocks/lime_concrete_powder, minecraft:recipes/root
minecraft:recipes/tools/iron_pickaxe, minecraft:recipes/tools/iron_pickaxe, minecraft:recipes/root
